SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_1,adm2_7,adm2_4,adm2_10,adm2_9,adm2_2,adm2_6,adm2_11,adm2_5,adm2_8,adm2_3
29914,10107,2,45,24,19,160,9.91,8.47,0,0,6,0,0,0,0,0,0,1,0,0,0,0
29931,11727,2,55,2,28,123,8.92,6.47,0,0,9,0,0,0,0,1,0,0,0,0,0,0
29935,5748,2,36,13,90,143,15.789999999999997,6.759999999999999,0.184,0,1,1,0,0,0,0,0,0,0,0,0,0
29985,6069,2,28,25,364,147,17.349999999999998,8.72,0,0,11,0,0,0,0,0,0,0,1,0,0,0
29991,168,2,23,28,434,140,23.589999999999996,9.44,2.66,0,1,1,0,0,0,0,0,0,0,0,0,0
30039,2784,2,45,21,44,112,6.91,6.56,0,0,8,0,0,0,0,0,0,0,0,0,1,0
30047,7121,2,23,1,14,135,9.69,7.720000000000001,0,1,7,0,1,0,0,0,0,0,0,0,0,0
30050,1945,2,27,20,15,180,9.850000000000001,8.09,0.279,0,8,0,0,0,0,0,0,0,0,0,1,0
30053,30,2,36,29,9,133,7.360000000000001,6.219999999999999,0.6030000000000001,0,4,0,0,1,0,0,0,0,0,0,0,0
30089,6275,2,45,27,34,160,8.68,8.74,0,0,5,0,0,0,0,0,0,0,0,1,0,0
30102,5660,2,27,20,53,254,19.66,11.71,0,0,9,0,0,0,0,1,0,0,0,0,0,0
30145,9141,2,40,10,66,191,12.569999999999999,8.07,0,0,5,0,0,0,0,0,0,0,0,1,0,0
30164,501,2,35,13,496,227,9.780000000000001,7.51,0,0,10,0,0,0,1,0,0,0,0,0,0,0
30165,5390,2,57,19,97,194,12.51,9.11,0.36,0,11,0,0,0,0,0,0,0,1,0,0,0
30171,8137,2,47,1,93,349,10.66,8.18,2.7075,1,7,0,1,0,0,0,0,0,0,0,0,0
30173,10584,2,23,10,64,122,8.9,7.01,0,0,3,0,0,0,0,0,0,0,0,0,0,1
30186,5725,2,22,30,93,194,12.14,7.49,0,0,7,0,1,0,0,0,0,0,0,0,0,0
30196,7350,2,20,17,65,164,13.67,8.809999999999999,0.423,0,4,0,0,1,0,0,0,0,0,0,0,0
30212,1378,2,50,26,1,87,7.1,7.459999999999999,0,0,11,0,0,0,0,0,0,0,1,0,0,0
